image,Irregularity,Disorganized,Asymmetry,Chaotic,Randomness,Variability,Multicolored,Heterogeneity,Grainy,Isotropy,Cluttered,Ambiguity,Intricate
Eric Montoya.jpg,0.41392404,0.9115069,0.83666104,0.87569684,0.50028443,0.30982417,0.20522836,0.4626416,0.054826267,0.62092173,0.2507782,0.9316369,0.19607139
Eric Montoya_c.png,0.40697476,0.95024717,0.8417219,0.6005032,0.2281533,0.49814534,0.19843706,0.38501534,0.10813007,0.4901841,0.64225155,0.27804983,0.1376084
apple.png,0.39476544,0.95293707,0.72902817,0.6515753,0.11571458,0.21035543,0.0927055,0.17048305,0.014976939,0.47826183,0.45400974,0.7049889,0.0044904905
apple_c.png,0.3168552,0.96656823,0.5830522,0.6597844,0.14768766,0.43151048,0.11997326,0.4233528,0.007791662,0.60761744,0.22511902,0.7692673,0.045524534
cat.png,0.47214392,0.973154,0.71184635,0.27142778,0.098661095,0.31239417,0.017993808,0.2228618,0.7399597,0.48288655,0.42070627,0.3493779,0.09646273
cat_c.png,0.50813794,0.9491962,0.6745881,0.62003607,0.20677735,0.5301897,0.022322891,0.42818204,0.008232328,0.5798649,0.46292755,0.3414225,0.63466007
climb.png,0.5431591,0.97081256,0.65460455,0.48551723,0.05252585,0.55168414,0.012610442,0.15370752,0.6133347,0.45988,0.68450505,0.20495847,0.3535788
climb_c.png,0.47924232,0.96980685,0.5290624,0.8123263,0.14123039,0.31251913,0.08075557,0.4317814,0.037043173,0.48840946,0.5438602,0.25745517,0.8756643
dwarfs.png,0.5099369,0.96215874,0.7300505,0.9128381,0.1306512,0.41125563,0.031248229,0.31209967,0.11110871,0.49395114,0.4382825,0.113601014,0.6817032
dwarfs_c.png,0.5835946,0.95365524,0.786403,0.94710344,0.16814075,0.43088713,0.048760157,0.4724232,0.007095219,0.46419778,0.5886841,0.13558052,0.9299345
einstein.png,0.59624535,0.9569108,0.72491515,0.9254908,0.13409877,0.4082643,0.014499587,0.22935717,0.24334346,0.37721354,0.74167806,0.17037977,0.8438565
einstein_c.png,0.42883947,0.9597563,0.5485011,0.82718563,0.054655176,0.36418974,0.11942198,0.45507374,0.05049462,0.5753907,0.529748,0.2952311,0.96387535
elephant.png,0.6123275,0.9784279,0.6173516,0.09590171,0.27845392,0.6108464,0.0013160312,0.3321111,0.6124894,0.42794573,0.37166163,0.13809566,0.07740828
elephant_c.png,0.57396805,0.9624629,0.68264043,0.22748609,0.19515496,0.79498094,0.00842347,0.32452092,0.52772486,0.51851475,0.46901506,0.06809601,0.092105806
face.jpg,0.69942385,0.9440556,0.8954061,0.06816322,0.30495214,0.5290714,0.0016458983,0.48291916,0.25857913,0.39801747,0.5374904,0.45032683,0.12584816
face_c.png,0.6001213,0.9525429,0.9014721,0.2748238,0.077959284,0.6984891,0.0014857422,0.31149843,0.114875846,0.54807645,0.430484,0.31136942,0.020889988
fantasy.png,0.5552831,0.96326506,0.78544056,0.9679005,0.07070928,0.5516381,0.039920278,0.49178746,0.0010417919,0.50878626,0.93930656,0.29481477,0.9632762
fantasy_c.png,0.42479527,0.9725547,0.6442815,0.9787734,0.32026735,0.20973384,0.31747916,0.57698727,0.027933363,0.54643327,0.41086292,0.3829765,0.6267551
flower.jpg,0.56609863,0.90622795,0.87481064,0.7217062,0.2964195,0.7528713,0.054085866,0.31180042,0.05169603,0.42478037,0.21875721,0.74226207,0.03725944
flower_c.png,0.5650384,0.8529963,0.69391775,0.6135636,0.6418866,0.71169025,0.14432013,0.32490382,0.0028088896,0.59931064,0.2779271,0.656158,0.08566796
goose.png,0.72584337,0.94478405,0.8736415,0.0959429,0.1807489,0.6883598,0.00023951665,0.48474616,0.20546071,0.25937727,0.8088123,0.50065017,0.01676124
goose_c.png,0.6389446,0.9734234,0.88953453,0.3108004,0.32585043,0.622861,0.0021376172,0.29634035,0.1150712,0.37664932,0.58079726,0.43441516,0.023783814
half.png,0.5608733,0.9353545,0.84174633,0.10537926,0.08625084,0.57853097,0.0018815767,0.14996524,0.45468947,0.63122207,0.5255672,0.36201626,0.038872786
half_c.png,0.54773104,0.91301376,0.90133375,0.08183915,0.09732637,0.46384484,0.011441124,0.41776967,0.029821701,0.59791267,0.5943285,0.8530102,0.17061485
halfskeleton.png,0.6397013,0.9562314,0.8351393,0.7521749,0.08019566,0.56099826,0.0022822146,0.34287038,0.04911604,0.43325168,0.4754681,0.49250683,0.57918936
halfskeleton_c.png,0.5889958,0.94617355,0.8224454,0.37429962,0.07969509,0.5231049,0.0044691944,0.41164455,0.030214671,0.6054836,0.2962656,0.6829588,0.79561573
horses.png,0.5057413,0.9842077,0.72461516,0.8007233,0.17675221,0.60404974,0.024301955,0.22445512,0.62427455,0.43417823,0.67972016,0.5286292,0.37752587
horses_c.png,0.4538551,0.83555,0.7316848,0.68922293,0.2477929,0.71695423,0.33150026,0.35291624,0.08258579,0.6740526,0.34738642,0.49070585,0.6240054
love.png,0.37870297,0.92506623,0.5493276,0.7509619,0.07533801,0.46168086,0.05534629,0.19448985,0.019119224,0.5312633,0.42405766,0.12438937,0.8197808
love_c.jpg,0.23460217,0.45058084,0.672735,0.61845416,0.18172407,0.6912006,0.6855553,0.02878147,0.042977143,0.5638902,0.60300124,0.22700895,0.3946638
magician.png,0.45228314,0.9692054,0.71532476,0.7453224,0.13914557,0.27821428,0.04249105,0.35838813,0.038267322,0.51036495,0.60036296,0.27213013,0.21352497
magician_c.png,0.47824872,0.976269,0.49746802,0.6235497,0.18993734,0.34609547,0.21642835,0.44530645,0.01830353,0.64978826,0.4454438,0.43193048,0.2804212
monkey.png,0.5676675,0.9453497,0.8961655,0.21442546,0.09314569,0.68731993,0.0004373961,0.41485626,0.07129391,0.27551353,0.23480187,0.45869938,0.028238907
monkey_c.png,0.47817662,0.96312726,0.7883675,0.66336364,0.39643958,0.48454848,0.011797195,0.3195198,0.2123939,0.6762358,0.78324866,0.8872946,0.29887053
mountain.png,0.6045759,0.970999,0.94348454,0.667627,0.12774546,0.20614456,0.004193786,0.2248548,0.020259121,0.7188488,0.8325658,0.7655749,0.042152833
mountain_c.png,0.42771974,0.90951234,0.70720726,0.59114575,0.10857297,0.6285435,0.047727685,0.36847556,0.0042621605,0.5526458,0.56589717,0.31276897,0.8935037
night.png,0.751632,0.9811307,0.86767554,0.54816055,0.34651342,0.49429536,0.01706383,0.56231475,0.8899812,0.49273446,0.8809229,0.57535505,0.4083936
night_c.png,0.5278359,0.9564016,0.8419031,0.76371807,0.31448358,0.46306533,0.06049182,0.49579343,0.69091946,0.5562602,0.63324106,0.5337763,0.19451092
oldman.png,0.40610224,0.97397554,0.7710515,0.504891,0.13584597,0.4141758,0.025653884,0.31836075,0.67068624,0.5243131,0.31687257,0.18954425,0.22618018
oldman_c.png,0.43121222,0.9420324,0.70437664,0.33811426,0.12142354,0.5479099,0.050517436,0.4224423,0.030102173,0.6349075,0.487164,0.38116983,0.17384058
oldpeople.jpg,0.51419187,0.9708328,0.3305153,0.78058964,0.093059935,0.5053466,0.024266135,0.28352946,0.39203334,0.54024816,0.24674173,0.29411635,0.6935384
oldpeople_c.png,0.47685492,0.9540278,0.28024015,0.61842084,0.059762582,0.45390004,0.041653715,0.49914122,0.009976767,0.6623854,0.35565186,0.2811147,0.8289692
painting.jpg,0.43965617,0.9432235,0.91928196,0.94387937,0.08914321,0.3224599,0.03358127,0.2841155,0.03175879,0.4323695,0.5645841,0.1827096,0.61255074
painting_c.png,0.4275554,0.9720852,0.72865367,0.48935312,0.15360768,0.5523124,0.022575857,0.28539434,0.25914523,0.57335365,0.36163506,0.2142663,0.35987258
people.jpg,0.45327014,0.9371454,0.8437785,0.23008075,0.045063686,0.5666278,0.03476757,0.30881587,0.45929593,0.5071542,0.35550237,0.1745751,0.43206924
people_c.png,0.3536152,0.8915163,0.6664508,0.12782264,0.060393628,0.8116152,0.0342031,0.2632012,0.079900496,0.6859193,0.2591445,0.19994844,0.14297056
scene.png,0.5993198,0.9766585,0.7925006,0.40100637,0.1206477,0.610118,0.00232889,0.2431007,0.79502195,0.6091634,0.75500166,0.4880675,0.09437968
scene_c.png,0.5166121,0.95558155,0.58821476,0.62905276,0.04597656,0.48313683,0.006256129,0.31041875,0.023792252,0.64802223,0.8246607,0.43911684,0.22713198
skeleton.png,0.49724343,0.8078686,0.90871596,0.87528926,0.16148585,0.8616967,0.011482889,0.16187972,0.0043807058,0.3373415,0.06602013,0.05521157,0.92836833
skeleton_c.png,0.42273015,0.8682162,0.8507042,0.18987219,0.067067385,0.6478691,0.014950077,0.38550705,0.029661752,0.4355233,0.41805086,0.18316561,0.056206137
street.jpg,0.71416664,0.8771771,0.7452392,0.74425507,0.04684562,0.82084924,0.021333376,0.48151836,0.013140976,0.26480335,0.2104454,0.24309455,0.9361056
street_c.png,0.5899079,0.9097907,0.74401784,0.4986534,0.21930143,0.73094267,0.035039317,0.2829593,0.91267794,0.4230623,0.27132243,0.3602114,0.14144892
sunset.png,0.52317053,0.97944605,0.5425665,0.5673496,0.11504498,0.3719296,0.042426255,0.36408463,0.27146438,0.5889563,0.8512787,0.451493,0.32427928
sunset_c.png,0.535524,0.9420623,0.71597683,0.62493056,0.078789204,0.48336905,0.033897433,0.4275489,0.19805737,0.5056586,0.5796316,0.43785426,0.2786663
table.png,0.45573482,0.9143403,0.6543764,0.27803448,0.0489164,0.42226338,0.014370844,0.47303742,0.0033494506,0.38395208,0.8616476,0.24569018,0.39508268
table_c.png,0.34337676,0.91713685,0.32229763,0.76722354,0.23705465,0.39603096,0.18918501,0.38258448,0.011188546,0.54367375,0.33746406,0.24378148,0.5959278
tiger.png,0.57614446,0.98028827,0.72001463,0.85801506,0.47371003,0.64256763,0.0049015945,0.30081457,0.44620603,0.47952437,0.7392762,0.5632839,0.08138697
tiger_c.png,0.4838156,0.9593894,0.47462428,0.91178304,0.27011004,0.39715862,0.06338955,0.31113654,0.12211776,0.688521,0.52096,0.5234889,0.61205566
tree.png,0.65174073,0.9791955,0.8183185,0.9218265,0.25760016,0.53887796,0.004067989,0.31167704,0.8898562,0.5357071,0.9333506,0.5358286,0.7218533
tree_c.png,0.6043196,0.97840285,0.7059149,0.39269662,0.16263184,0.46517015,0.007214564,0.21336229,0.5569256,0.63073575,0.83094704,0.5051215,0.2015212
treeelephant.jpg,0.7208588,0.9718636,0.9248328,0.16922344,0.15291156,0.8714715,0.000385563,0.46625698,0.5777334,0.5787516,0.58486843,0.24396174,0.03998484
treeelephant_c.png,0.6353177,0.94607025,0.9012134,0.28735733,0.12906049,0.68425375,0.004076471,0.35053623,0.01907271,0.59232074,0.5558117,0.31676584,0.11320127
twotrees.jpg,0.53102344,0.9747635,0.7970868,0.87300354,0.23084356,0.36193344,0.0028497973,0.24640174,0.025816865,0.46756038,0.14847411,0.321574,0.42172393
twotrees_c.png,0.4044243,0.94751245,0.88248587,0.39591238,0.04547272,0.71598244,0.005531069,0.3045137,0.39841488,0.38386095,0.66214097,0.2781668,0.06913545
upsidedownwoman.png,0.40011558,0.9822379,0.6695942,0.56203985,0.12304862,0.49413684,0.020385593,0.2774627,0.27507836,0.54548246,0.42558682,0.42013928,0.060953725
upsidedownwoman_c.png,0.5206998,0.92105347,0.65807486,0.46868685,0.3252572,0.5595178,0.06200688,0.49547303,0.0026973796,0.6357884,0.4990671,0.3430797,0.31822026
vangogh.jpg,0.5021193,0.9710598,0.7135244,0.78175163,0.1178002,0.28087732,0.055427425,0.33922926,0.22904547,0.47881848,0.15216348,0.07409092,0.47108874
vangogh_c.png,0.44112936,0.9618254,0.7222262,0.5030472,0.13897191,0.6202474,0.049592704,0.30796906,0.546351,0.6708484,0.47796437,0.41142097,0.038595114
wife.png,0.63525736,0.9845346,0.8821626,0.02945249,0.11222234,0.6730301,0.0009601264,0.42783904,0.8059517,0.560828,0.71388376,0.24981077,0.09166431
wife_c.png,0.6619726,0.9803507,0.8232403,0.17994225,0.36969724,0.64212024,0.0062112124,0.3998032,0.51575875,0.54451877,0.32312244,0.40894505,0.32350156
woman.png,0.41094604,0.98189527,0.6175779,0.44232807,0.077739306,0.44745582,0.017893314,0.22495785,0.5536017,0.58511204,0.49069515,0.40438616,0.07762001
woman_c.png,0.46557567,0.9245382,0.6585453,0.2426095,0.11191885,0.8518438,0.038475364,0.23251687,0.82118225,0.6545157,0.37646127,0.4277576,0.1191845
